Intent_id,Standard,Clause_or_control,Intent_type,Intent_statement,Evidence_examples,Strength,Mandatory,Applicability ,Exclusion_Justified,Process,Action_Title,compliance_status
INT-A5-25,ISO27001_2022,A.5.4,governance,A defined frequency exists to review management responsibility documentation,Governance policy or review schedule,medium,NO,,,Governance & Policy,Enforce Management Responsibilities,Not Started
INT-A5-26,ISO27001_2022,A.5.4,governance,Management responsibility documentation has been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Enforce Management Responsibilities,Not Started
INT-A5-27,ISO27001_2022,A.5.4,governance,Top management and process owners actively oversee information security processes,Oversight meeting minutes or status reports,medium,NO,,,Governance & Policy,Enforce Management Responsibilities,Not Started
INT-A5-28,ISO27001_2022,A.5.4,governance,Management intervention is evidenced when addressing security issues or enforcing ISMS controls,Incident or corrective action records,medium,NO,,,Governance & Policy,Enforce Management Responsibilities,Not Started
INT-A5-29,ISO27001_2022,A.5.5,governance,Responsibilities are defined for maintaining contact with relevant authorities,Incident response or governance procedures,medium,NO,,,Governance & Policy,Maintain Contact with Authorities,Not Started
INT-A5-30,ISO27001_2022,A.5.5,governance,Procedures exist for establishing and maintaining communication with relevant authorities,Documented procedures,medium,NO,,,Governance & Policy,Maintain Contact with Authorities,Not Started
INT-A5-31,ISO27001_2022,A.5.5,governance,Records of communication with authorities are maintained where applicable,Communication records or incident logs,medium,NO,,,Governance & Policy,Maintain Contact with Authorities,Not Started
INT-A5-32,ISO27001_2022,A.5.6,governance,Responsibilities are defined to maintain contact with special interest groups or security forums,Governance or responsibility documentation,medium,NO,,,Governance & Policy,Maintain Contact with Interest Groups,Not Started
INT-A5-33,ISO27001_2022,A.5.6,governance,The organization maintains membership or participation in relevant security groups or forums,Membership records or participation evidence,medium,NO,,,Governance & Policy,Maintain Contact with Interest Groups,Not Started
INT-A5-34,ISO27001_2022,A.5.6,governance,Information or advisories from special interest groups are shared internally with relevant stakeholders,Internal communications or threat sharing records,medium,NO,,,Governance & Policy,Maintain Contact with Interest Groups,Not Started
INT-A5-35,ISO27001_2022,A.5.7,governance,Methods are defined for collecting information on existing and emerging security threats,Threat intelligence policy or procedure,medium,NO,,,Governance & Policy,Collect and Analyze Threat Intelligence,Not Started
INT-A5-36,ISO27001_2022,A.5.7,governance,Sources of threat intelligence are identified and used by the organization,Threat feeds subscriptions or ISAC participation,medium,NO,,,Governance & Policy,Collect and Analyze Threat Intelligence,Not Started
INT-A5-37,ISO27001_2022,A.5.7,governance,Threat intelligence information is analyzed by the organization,Analysis records or reports,medium,NO,,,Governance & Policy,Collect and Analyze Threat Intelligence,Not Started
INT-A5-38,ISO27001_2022,A.5.7,governance,Threat intelligence is used to support risk assessment incident response or security improvements,Risk register updates or incident records,medium,NO,,,Governance & Policy,Collect and Analyze Threat Intelligence,Not Started
INT-A5-39,ISO27001_2022,A.5.7,governance,Threat intelligence reports have been received or generated within the last 12 months,Threat intelligence reports,medium,NO,,,Governance & Policy,Collect and Analyze Threat Intelligence,Not Started
INT-A5-40,ISO27001_2022,A.5.8,governance,Information security is formally integrated into project management processes,Project or risk management procedures,medium,NO,,,Governance & Policy,Integrate Security into Project Management,Not Started
INT-A5-41,ISO27001_2022,A.5.8,governance,Project documentation includes requirements for managing information security risks,Project templates or procedures,medium,NO,,,Governance & Policy,Integrate Security into Project Management,Not Started
INT-A5-42,ISO27001_2022,A.5.8,governance,Information security requirements for projects are communicated to relevant personnel,Training or project communications,medium,NO,,,Governance & Policy,Integrate Security into Project Management,Not Started
INT-A5-43,ISO27001_2022,A.5.8,governance,Project teams define information security requirements for projects,Project documentation,medium,NO,,,Governance & Policy,Integrate Security into Project Management,Not Started
INT-A5-44,ISO27001_2022,A.5.8,governance,Project security requirements are specific measurable and reasonable,Project risk assessments,medium,NO,,,Governance & Policy,Integrate Security into Project Management,Not Started
INT-A5-45,ISO27001_2022,A.5.8,governance,Project security requirements align with the organizational security baseline,Baseline standards or project records,medium,NO,,,Governance & Policy,Integrate Security into Project Management,Not Started
INT-A5-46,ISO27001_2022,A.5.9,governance,An asset management process is documented and implemented,Asset management policy or procedure,medium,NO,,,Governance & Policy,Inventory Information Assets,Not Started
INT-A5-47,ISO27001_2022,A.5.9,governance,An inventory of information and associated assets is maintained,Asset inventory register,medium,NO,,,Governance & Policy,Inventory Information Assets,Not Started
INT-A5-48,ISO27001_2022,A.5.9,governance,Information assets are clearly identified,Asset inventory records,medium,NO,,,Governance & Policy,Inventory Information Assets,Not Started
INT-A5-49,ISO27001_2022,A.5.9,governance,Information assets are classified based on criticality or CIA considerations,Asset classification records,medium,NO,,,Governance & Policy,Inventory Information Assets,Not Started
INT-A5-50,ISO27001_2022,A.5.9,governance,Ownership is defined for all information assets,Asset ownership records,medium,NO,,,Governance & Policy,Inventory Information Assets,Not Started
INT-A5-51,ISO27001_2022,A.5.9,governance,The asset inventory has been reviewed within defined review periods,Review logs or version history,medium,NO,,,Governance & Policy,Inventory Information Assets,Not Started
INT-A5-52,ISO27001_2022,A.5.10,governance,Acceptable use rules for information and associated assets are documented,Acceptable use policy,medium,NO,,,Governance & Policy,Define Acceptable Use of Assets,Not Started
INT-A5-53,ISO27001_2022,A.5.10,governance,Asset handling procedures are defined in accordance with the classification scheme,Asset handling procedures,medium,NO,,,Governance & Policy,Define Acceptable Use of Assets,Not Started
INT-A5-54,ISO27001_2022,A.5.10,governance,Acceptable use rules are communicated to relevant personnel,Training records or emails,medium,NO,,,Governance & Policy,Define Acceptable Use of Assets,Not Started
INT-A5-55,ISO27001_2022,A.5.10,governance,Personnel acknowledge acceptable use requirements,Signed acknowledgements or onboarding records,weak,NO,,,Governance & Policy,Define Acceptable Use of Assets,Not Started
INT-A5-56,ISO27001_2022,A.5.10,governance,Acceptable use documentation has been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Define Acceptable Use of Assets,Not Started
INT-A5-57,ISO27001_2022,A.5.11,governance,A process exists requiring return of organizational assets upon termination or contract end,Offboarding or termination procedures,medium,NO,,,Governance & Policy,Return Assets Upon Termination,Not Started
INT-A5-58,ISO27001_2022,A.5.11,governance,Records of asset return are maintained for terminated or transferred personnel,Asset return or offboarding records,medium,NO,,,Governance & Policy,Return Assets Upon Termination,Not Started
INT-A5-59,ISO27001_2022,A.5.12,governance,An information classification scheme defining protection levels exists,Information classification policy,medium,NO,,,Governance & Policy,Classify Information,Not Started
INT-A5-60,ISO27001_2022,A.5.12,governance,The classification scheme considers confidentiality integrity availability and business requirements,Classification policy or procedure,medium,NO,,,Governance & Policy,Classify Information,Not Started
INT-A5-61,ISO27001_2022,A.5.12,governance,Asset owners are responsible for assigning and reviewing information classification,Classification procedures,medium,NO,,,Governance & Policy,Classify Information,Not Started
INT-A5-62,ISO27001_2022,A.5.12,governance,The classification scheme addresses aggregation of information resulting in higher classification,Classification policy,medium,NO,,,Governance & Policy,Classify Information,Not Started
INT-A5-63,ISO27001_2022,A.5.12,governance,A defined frequency exists to review and update the classification scheme,Classification policy,medium,NO,,,Governance & Policy,Classify Information,Not Started
INT-A5-64,ISO27001_2022,A.5.12,governance,The information classification scheme has been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Classify Information,Not Started
INT-A5-65,ISO27001_2022,A.5.12,governance,Information classification requirements are communicated to relevant personnel,Training records or communications,medium,NO,,,Governance & Policy,Classify Information,Not Started
INT-A5-66,ISO27001_2022,A.5.13,governance,Procedures exist for labeling information in accordance with the classification scheme,Information labeling procedure,medium,NO,,,Governance & Policy,Label Information,Not Started
INT-A5-67,ISO27001_2022,A.5.13,governance,A default classification level is defined for unlabeled information,Labeling procedure,medium,NO,,,Governance & Policy,Label Information,Not Started
INT-A5-68,ISO27001_2022,A.5.13,governance,A defined frequency exists to review and update information labeling procedures,Labeling procedure,medium,NO,,,Governance & Policy,Label Information,Not Started
INT-A5-69,ISO27001_2022,A.5.13,governance,Information labeling procedures have been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Label Information,Not Started
INT-A5-70,ISO27001_2022,A.5.13,governance,Information labeling requirements are communicated to relevant personnel,Training records or communications,medium,NO,,,Governance & Policy,Label Information,Not Started
INT-A5-71,ISO27001_2022,A.5.13,operational,Information assets are labeled in accordance with the classification scheme,Labeled information samples,medium,NO,,,Governance & Policy,Label Information,Not Started
INT-A5-72,ISO27001_2022,A.5.14,governance,Information transfer rules and procedures are documented,Information transfer policy or procedure,medium,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-73,ISO27001_2022,A.5.14,governance,Protection measures for information transfer are defined for communication facilities,Transfer procedures,medium,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-74,ISO27001_2022,A.5.14,governance,A defined frequency exists to review and update information transfer documentation,Transfer policy,medium,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-75,ISO27001_2022,A.5.14,governance,Information transfer documentation has been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-76,ISO27001_2022,A.5.14,governance,Information transfer requirements are communicated to relevant personnel,Training records or communications,medium,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-77,ISO27001_2022,A.5.14,technical,Data transmitted over external networks is encrypted using strong cryptography,System or network configuration,strong,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-78,ISO27001_2022,A.5.14,technical,Encryption strength used for information transfer meets defined security requirements,Encryption standards or system configuration,strong,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-79,ISO27001_2022,A.5.14,governance,Agreements governing secure information transfer with external parties exist,Contracts or agreements,medium,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-80,ISO27001_2022,A.5.14,technical,Information transfers are protected based on information classification,Security controls or transfer records,strong,NO,,,Governance & Policy,Secure Information Transfer,Not Started
INT-A5-81,ISO27001_2022,A.5.15,governance,An access control policy defining access requirements exists,Access control policy,medium,NO,,,Governance & Policy,Control Access to Information,Not Started
INT-A5-82,ISO27001_2022,A.5.15,governance,Access request approval and provisioning requirements are defined,Access control policy,medium,NO,,,Governance & Policy,Control Access to Information,Not Started
INT-A5-83,ISO27001_2022,A.5.15,technical,Access provisioning follows role-based and least privilege principles,IAM configuration or access records,strong,NO,,,Governance & Policy,Control Access to Information,Not Started
INT-A5-84,ISO27001_2022,A.5.15,governance,Management requirements for functional or non-human identities are defined,Access control policy or IAM records,medium,NO,,,Governance & Policy,Control Access to Information,Not Started
INT-A5-85,ISO27001_2022,A.5.15,governance,A defined frequency exists to review and update access control documentation,Access control policy,medium,NO,,,Governance & Policy,Control Access to Information,Not Started
INT-A5-86,ISO27001_2022,A.5.15,governance,Access control policy has been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Control Access to Information,Not Started
INT-A5-87,ISO27001_2022,A.5.15,governance,Access control requirements are communicated to relevant personnel,Training records or communications,medium,NO,,,Governance & Policy,Control Access to Information,Not Started
INT-A5-88,ISO27001_2022,A.5.15,technical,Access to networks and network services is assigned based on job role and function,Network or IAM configuration,strong,NO,,,Governance & Policy,Control Access to Information,Not Started
INT-A5-89,ISO27001_2022,A.5.16,governance,A formal identity registration and de-registration process exists,Identity management procedures,medium,NO,,,Governance & Policy,Manage Identity Lifecycle,Not Started
INT-A5-90,ISO27001_2022,A.5.16,operational,Identity onboarding processes support assignment of access rights,IAM onboarding records,medium,NO,,,Governance & Policy,Manage Identity Lifecycle,Not Started
INT-A5-91,ISO27001_2022,A.5.16,operational,Identity termination or de-registration processes are implemented,IAM offboarding records,medium,NO,,,Governance & Policy,Manage Identity Lifecycle,Not Started
INT-A5-92,ISO27001_2022,A.5.17,governance,A documented process exists for distributing initial authentication information,Authentication procedures,medium,NO,,,Governance & Policy,Secure Authentication Information,Not Started
INT-A5-93,ISO27001_2022,A.5.17,governance,User identity is verified before issuing or resetting authentication information,Authentication procedures,medium,NO,,,Governance & Policy,Secure Authentication Information,Not Started
INT-A5-94,ISO27001_2022,A.5.17,governance,A password or authentication policy defining minimum security requirements exists,Authentication or password policy,medium,NO,,,Governance & Policy,Secure Authentication Information,Not Started
INT-A5-95,ISO27001_2022,A.5.17,technical,Password complexity requirements are enforced,System configuration,strong,NO,,,Governance & Policy,Secure Authentication Information,Not Started
INT-A5-96,ISO27001_2022,A.5.17,technical,Password history requirements are enforced,System configuration,strong,NO,,,Governance & Policy,Secure Authentication Information,Not Started
INT-A5-97,ISO27001_2022,A.5.17,technical,Maximum password age requirements are enforced,System configuration,strong,NO,,,Governance & Policy,Secure Authentication Information,Not Started
INT-A5-98,ISO27001_2022,A.5.17,technical,Account lockout controls are enforced after failed authentication attempts,System configuration,strong,NO,,,Governance & Policy,Secure Authentication Information,Not Started
INT-A5-99,ISO27001_2022,A.5.17,governance,Authentication documentation has been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Secure Authentication Information,Not Started
INT-A5-100,ISO27001_2022,A.5.18,governance,A formal process exists to provision and revoke access rights,Access management procedures,medium,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-101,ISO27001_2022,A.5.18,governance,Access rights are approved by authorized parties before provisioning,Access request records,medium,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-102,ISO27001_2022,A.5.18,governance,User access rights reviews are conducted at least annually,Access review records,medium,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-103,ISO27001_2022,A.5.18,governance,Privileged access rights are reviewed at least quarterly,Privileged access review records,medium,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-104,ISO27001_2022,A.5.18,technical,Access for terminated users is removed or disabled promptly,IAM termination logs,strong,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-105,ISO27001_2022,A.5.18,technical,Access rights are updated within defined timeframes after personnel transfer,IAM records,strong,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-106,ISO27001_2022,A.5.18,technical,Inactive user accounts are disabled or removed within defined timeframes,IAM configuration,strong,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-107,ISO27001_2022,A.5.18,technical,Temporary user accounts are disabled after a predefined period,IAM configuration,strong,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-108,ISO27001_2022,A.5.18,technical,Third-party remote access is enabled only when required and disabled afterward,Remote access configuration,strong,NO,,,Governance & Policy,Manage Access Rights,Not Started
INT-A5-109,ISO27001_2022,A.5.19,governance,A documented process exists to manage information security risks related to suppliers,Third-party risk policy or procedures,medium,NO,,,Governance & Policy,Manage Supplier Security Risks,Not Started
INT-A5-110,ISO27001_2022,A.5.19,governance,Issue management and remediation tracking for supplier security risks is defined,Third-party issue logs or procedures,medium,NO,,,Governance & Policy,Manage Supplier Security Risks,Not Started
INT-A5-111,ISO27001_2022,A.5.19,governance,Suppliers are assessed for criticality as part of initial and periodic risk assessments,Supplier risk assessments,medium,NO,,,Governance & Policy,Manage Supplier Security Risks,Not Started
INT-A5-112,ISO27001_2022,A.5.19,governance,Security due diligence or assessments are performed for suppliers,Due diligence records or assessments,medium,NO,,,Governance & Policy,Manage Supplier Security Risks,Not Started
INT-A5-113,ISO27001_2022,A.5.19,governance,A defined frequency exists to review and update supplier security risk documentation,Supplier risk procedures,medium,NO,,,Governance & Policy,Manage Supplier Security Risks,Not Started
INT-A5-114,ISO27001_2022,A.5.19,governance,Supplier security risk processes have been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Manage Supplier Security Risks,Not Started
INT-A5-115,ISO27001_2022,A.5.19,governance,Supplier security risk management requirements are communicated to relevant personnel,Training records or communications,medium,NO,,,Governance & Policy,Manage Supplier Security Risks,Not Started
INT-A5-116,ISO27001_2022,A.5.20,governance,Information security requirements are defined for suppliers based on relationship type,Contract templates or security requirements,medium,NO,,,Governance & Policy,Manage Supplier Agreements,Not Started
INT-A5-117,ISO27001_2022,A.5.20,governance,Suppliers formally agree to applicable information security requirements,Executed supplier agreements,medium,NO,,,Governance & Policy,Manage Supplier Agreements,Not Started
INT-A5-118,ISO27001_2022,A.5.20,governance,Standard contract templates including security clauses are used with suppliers,Contract templates,medium,NO,,,Governance & Policy,Manage Supplier Agreements,Not Started
INT-A5-119,ISO27001_2022,A.5.21,governance,A process exists to manage information security risks in the ICT supply chain,ICT supply chain security procedures,medium,NO,,,Governance & Policy,Secure ICT Supply Chain,Not Started
INT-A5-120,ISO27001_2022,A.5.21,governance,ICT supplier agreements include information security requirements,Supplier agreements,medium,NO,,,Governance & Policy,Secure ICT Supply Chain,Not Started
INT-A5-121,ISO27001_2022,A.5.21,governance,Risk assessments or monitoring are performed for critical ICT suppliers,Supplier risk or monitoring reports,medium,NO,,,Governance & Policy,Secure ICT Supply Chain,Not Started
INT-A5-122,ISO27001_2022,A.5.22,governance,A list of suppliers and services provided is maintained,Supplier register,medium,NO,,,Governance & Policy,Monitor Supplier Services,Not Started
INT-A5-123,ISO27001_2022,A.5.22,governance,Processes and responsibilities are defined to manage changes to supplier services,Supplier management procedures,medium,NO,,,Governance & Policy,Monitor Supplier Services,Not Started
INT-A5-124,ISO27001_2022,A.5.22,governance,Supplier performance is monitored against contractual requirements or SLAs,Performance reviews or SLA reports,medium,NO,,,Governance & Policy,Monitor Supplier Services,Not Started
INT-A5-125,ISO27001_2022,A.5.22,governance,Procedures exist to handle breaches of supplier contractual or security obligations,Breach or incident handling procedures,medium,NO,,,Governance & Policy,Monitor Supplier Services,Not Started
INT-A5-126,ISO27001_2022,A.5.22,governance,A register of detected supplier-related breaches is maintained,Breach register,medium,NO,,,Governance & Policy,Monitor Supplier Services,Not Started
INT-A5-127,ISO27001_2022,A.5.23,governance,Processes exist to manage information security risks related to cloud services,Cloud security policy or guidelines,medium,NO,,,Governance & Policy,Manage Cloud Services Security,Not Started
INT-A5-128,ISO27001_2022,A.5.23,governance,Security requirements for cloud services are defined and documented,Cloud security standards or policies,medium,NO,,,Governance & Policy,Manage Cloud Services Security,Not Started
INT-A5-129,ISO27001_2022,A.5.23,governance,Security evaluations are performed for cloud service providers,Vendor assessments or SOC reports,medium,NO,,,Governance & Policy,Manage Cloud Services Security,Not Started
INT-A5-130,ISO27001_2022,A.5.23,governance,Shared responsibility models or equivalent agreements are reviewed and understood,Cloud provider agreements or SOC reports,medium,NO,,,Governance & Policy,Manage Cloud Services Security,Not Started
INT-A5-131,ISO27001_2022,A.5.23,governance,Changes to cloud services are identified and assessed for security impact,Change notifications or risk reviews,medium,NO,,,Governance & Policy,Manage Cloud Services Security,Not Started
INT-A5-132,ISO27001_2022,A.5.24,governance,An incident management policy procedure and incident response plan exist,Incident management policy or IRP,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-133,ISO27001_2022,A.5.24,governance,Incident definitions are documented across relevant domains,Incident management policy,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-134,ISO27001_2022,A.5.24,governance,Incident management scope includes employees and subcontractors,Incident management policy,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-135,ISO27001_2022,A.5.24,governance,Procedures exist to prevent and detect information security incidents,IR or monitoring procedures,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-136,ISO27001_2022,A.5.24,governance,Procedures exist to investigate information security incidents,Incident response procedures,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-137,ISO27001_2022,A.5.24,governance,Procedures exist to remediate incidents and track them to closure,Incident management workflows or tickets,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-138,ISO27001_2022,A.5.24,governance,Internal and external incident reporting requirements and timelines are defined,IRP or notification procedures,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-139,ISO27001_2022,A.5.24,governance,A defined frequency exists to review and update incident documentation,Incident management policy,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-140,ISO27001_2022,A.5.24,governance,Incident documentation has been reviewed within defined timeframes,Version history or review records,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-141,ISO27001_2022,A.5.24,governance,Incident reporting procedures are communicated and trained to personnel,Awareness or training records,medium,NO,,,Governance & Policy,Plan for Incident Management,Not Started
INT-A5-142,ISO27001_2022,A.5.25,operations,Procedures exist to triage assess and classify information security events,Event triage or classification procedures,medium,NO,,,Governance & Policy,Assess and Classify Security Events,Not Started
INT-A5-143,ISO27001_2022,A.5.25,operations,Designated personnel are available to respond to security alerts within defined timeframes,On-call roster or SOC procedures,medium,NO,,,Governance & Policy,Assess and Classify Security Events,Not Started
INT-A5-144,ISO27001_2022,A.5.25,operations,Security events are assessed and categorized as incidents when applicable,Classification logs or ticketing system,medium,NO,,,Governance & Policy,Assess and Classify Security Events,Not Started
INT-A5-145,ISO27001_2022,A.5.26,operations,An incident response plan is established and maintained,Incident response plan,medium,NO,,,Governance & Policy,Respond to Security Incidents,Not Started
INT-A5-146,ISO27001_2022,A.5.26,operations,Incident response roles responsibilities and communication contacts are defined,IRP or call tree,medium,NO,,,Governance & Policy,Respond to Security Incidents,Not Started
INT-A5-147,ISO27001_2022,A.5.26,operations,Documented response procedures exist for different incident categories,IR playbooks or procedures,medium,NO,,,Governance & Policy,Respond to Security Incidents,Not Started
INT-A5-148,ISO27001_2022,A.5.26,operations,Post incident review or postmortem activities are defined and required,IRP or PIR procedure,medium,NO,,,Governance & Policy,Respond to Security Incidents,Not Started
INT-A5-149,ISO27001_2022,A.5.26,operations,Incident response procedures are communicated and personnel are trained,Training or tabletop attendance records,medium,NO,,,Governance & Policy,Respond to Security Incidents,Not Started
INT-A5-150,ISO27001_2022,A.5.26,operations,Information security incidents are handled in accordance with documented procedures,Incident records or tickets,medium,NO,,,Governance & Policy,Respond to Security Incidents,Not Started
INT-A5-151,ISO27001_2022,A.5.26,operations,Incident response plans are tested at planned intervals,Tabletop or exercise results,medium,NO,,,Governance & Policy,Respond to Security Incidents,Not Started
INT-A5-152,ISO27001_2022,A.5.27,operations,Postmortems are conducted for high or medium severity incidents,PIR or lessons learned reports,medium,NO,,,Governance & Policy,Learn from Information Security Incidents,Not Started
INT-A5-153,ISO27001_2022,A.5.27,operations,Lessons learned are tracked and used to implement corrective actions,Corrective action or backlog records,medium,NO,,,Governance & Policy,Learn from Information Security Incidents,Not Started
INT-A5-154,ISO27001_2022,A.5.27,operations,Lessons learned from incidents are communicated to relevant stakeholders,Communications or briefings,medium,NO,,,Governance & Policy,Learn from Information Security Incidents,Not Started
INT-A5-155,ISO27001_2022,A.5.28,operations,Forensic and evidence collection guidance exists for information security incidents,Forensic or evidence procedures,medium,NO,,,Governance & Policy,Collect and Preserve Evidence,Not Started
INT-A5-156,ISO27001_2022,A.5.28,operations,Procedures exist for identifying collecting preserving and acquiring evidence,Evidence handling procedures,medium,NO,,,Governance & Policy,Collect and Preserve Evidence,Not Started
INT-A5-157,ISO27001_2022,A.5.28,operations,Chain of custody documentation is maintained for collected evidence,Chain of custody forms or case logs,medium,NO,,,Governance & Policy,Collect and Preserve Evidence,Not Started
INT-A5-158,ISO27001_2022,A.5.28,operations,Defined frequency exists to review and update evidence collection documentation,Evidence procedures,medium,NO,,,Governance & Policy,Collect and Preserve Evidence,Not Started
INT-A5-159,ISO27001_2022,A.5.28,operations,Evidence collection procedures are communicated to relevant personnel,Training or communications records,medium,NO,,,Governance & Policy,Collect and Preserve Evidence,Not Started
INT-A5-160,ISO27001_2022,A.5.29,resilience,Business continuity and disaster recovery policies exist and include information security expectations,BCP or DR policy,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-161,ISO27001_2022,A.5.29,resilience,BCP and DR scope covers relevant products and services,BCP or DR policy,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-162,ISO27001_2022,A.5.29,resilience,BCP and DR policies are reviewed at planned intervals,Review records or version history,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-163,ISO27001_2022,A.5.29,resilience,BCP and DR requirements are communicated to relevant personnel,Training or communications records,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-164,ISO27001_2022,A.5.29,resilience,Business impact analysis is performed for critical services at planned intervals,BIA reports,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-165,ISO27001_2022,A.5.29,resilience,A documented business continuity plan exists,BCP documentation,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-166,ISO27001_2022,A.5.29,resilience,Business continuity plans are reviewed and updated at planned intervals,Review records,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-167,ISO27001_2022,A.5.29,resilience,Business continuity plans are tested at planned intervals,Test or exercise reports,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-168,ISO27001_2022,A.5.29,resilience,A documented disaster recovery plan exists,DRP documentation,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-169,ISO27001_2022,A.5.29,resilience,Disaster recovery plans are reviewed and updated at planned intervals,Review records,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-170,ISO27001_2022,A.5.29,resilience,End to end disaster recovery exercises are performed for critical technology components,DR exercise results,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-171,ISO27001_2022,A.5.29,resilience,Procedures exist for data restoration in accordance with defined schedules,Backup or restore procedures,strong,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-172,ISO27001_2022,A.5.29,resilience,RTOs and RPOs are defined for critical services,BIA or continuity plans,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-173,ISO27001_2022,A.5.29,resilience,Significant BCP or DR changes are communicated to stakeholders,Change communications or notices,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-174,ISO27001_2022,A.5.29,resilience,Critical issues identified during BC or DR tests are remediated within defined timeframes,Issue trackers or corrective actions,medium,NO,,,Governance & Policy,Plan for Business Continuity,Not Started
INT-A5-175,ISO27001_2022,A.5.30,resilience,ICT continuity and disaster recovery plans exist supporting information security resilience,ICT BCP or DR plans,medium,NO,,,Governance & Policy,Ensure ICT Readiness for Business Continuity,Not Started
INT-A5-176,ISO27001_2022,A.5.30,resilience,ICT continuity plans are tested and documented at planned intervals,ICT test results,medium,NO,,,Governance & Policy,Ensure ICT Readiness for Business Continuity,Not Started
INT-A5-177,ISO27001_2022,A.5.30,resilience,Lessons learned from ICT continuity tests are captured and tracked,After action reports,medium,NO,,,Governance & Policy,Ensure ICT Readiness for Business Continuity,Not Started
INT-A5-178,ISO27001_2022,A.5.31,governance,Legal statutory regulatory and contractual information security requirements are identified and documented,Compliance matrix or register,medium,NO,,,Governance & Policy,Identify Legal and Contractual Requirements,Not Started
INT-A5-179,ISO27001_2022,A.5.31,governance,ISMS controls are mapped to applicable legal and contractual requirements,Compliance matrix,medium,NO,,,Governance & Policy,Identify Legal and Contractual Requirements,Not Started
INT-A5-180,ISO27001_2022,A.5.31,governance,A defined process exists to periodically review and update legal and contractual requirements,Legal review procedure,medium,NO,,,Governance & Policy,Identify Legal and Contractual Requirements,Not Started
INT-A5-181,ISO27001_2022,A.5.32,governance,Procedures exist to protect intellectual property rights related to information assets,IP policy or procedures,medium,NO,,,Governance & Policy,Protect Intellectual Property Rights,Not Started
INT-A5-182,ISO27001_2022,A.5.32,governance,Software installation and usage are tracked to ensure licensing compliance,Software inventory or license records,medium,NO,,,Governance & Policy,Protect Intellectual Property Rights,Not Started
INT-A5-183,ISO27001_2022,A.5.33,governance,Records retention and protection requirements are documented and implemented,Records retention policy or schedule,medium,NO,,,Governance & Policy,Protect Records,Not Started
